Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,
"6628 21SEP10 , TFL MFM , NORTH GREENWI GB - POS",9/22/10,30,Debit,123492,870.68,,,,
"6628 21SEP10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",9/22/10,4.8,Debit,123493,865.88,,,,
"6628 23SEP10 , DEBENHAMS , OXFORD STREET GB , CASH BACK 30.00 - POS",9/24/10,82,Debit,123494,783.88,,,,
"6628 25SEP10 , TFL MFM , NORTH GREENWI GB - POS",9/27/10,20,Debit,123495,763.88,,,,
"6628 26SEP10 , TESCO STORES 5432 , GREENWICH GB - POS",9/27/10,17.2,Debit,123496,746.68,,,,
LLOYDS BANK 25SEP - ATM,9/27/10,40,Debit,123497,706.68,,,,
HALIFAX PLC 24SEP - ATM,9/27/10,50,Debit,123498,656.68,,,,
"6628 27SEP10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",9/28/10,7.89,Debit,123499,648.79,,,,
"CALL REF.NO. 0145 , FROM A/C 24947318 - OTR",9/30/10,200,Credit,123500,848.79,,,,
"0224 29SEP10 2046 , THE SALUSBURY , LONDON NW6 - POS",9/30/10,10.5,Debit,123501,838.29,,,,
"CALL REF.NO. 0145 , TO A/C 24885126 - OTR",9/30/10,200,Debit,123502,638.29,,,,
"SAVING, FP 01/10/10 30 , 15024237147599000N - S/O",10/1/10,100,Debit,123503,538.29,,,,
"6628 29SEP10 , TESCO STORES 2722 , EUSTON GB - POS",10/1/10,4.4,Debit,123504,533.89,,,,
CARPHONE WAREHOUSE - D/D,10/1/10,35.95,Debit,123505,497.94,,,,
"CALL REF.NO. 0153 , FROM A/C 24947318 - OTR",10/4/10,300,Credit,123506,797.94,,,,
HSBC 01OCT - ATM,10/4/10,100,Debit,123507,697.94,,,,
"6628 29SEP10 , HYPERCHEM PHARMACY, LONDON NW6 GB - POS",10/4/10,3.99,Debit,123508,693.95,,,,
"CALL REF.NO. 0153 , TO A/C 24885126 - OTR",10/4/10,300,Debit,123509,393.95,,,,
PAYMENT 2 EGG CARD - D/D,10/4/10,10,Debit,123510,383.95,,,,
"MYATT , FP 04/10/10 30 , 51023633947752000N - S/O",10/4/10,100,Debit,123511,283.95,,,,
"0224 04OCT10 0000 , GLASTONBURY , . - POS",10/5/10,100,Debit,123512,183.95,,,,
EGG BANKING PLC - BAC,10/5/10,2500,Credit,123513,2683.95,,,,
O2 - D/D,10/5/10,40.93,Debit,123514,2643.02,,,,
ABBEYNATIONL 06OCT - ATM,10/7/10,30,Debit,123515,2613.02,,,,
"0724 10OCT10 , BLYTH COSTA COFFEE, BLYTH 10309 GB - POS",10/11/10,3.15,Debit,123516,2609.87,,,,
"0724 10OCT10 , ALDI STORES LTD , NEWCASTLE GB - POS",10/11/10,55.95,Debit,123517,2553.92,,,,
"0224 08OCT10 1843 , SAINSBURYS SUPMKTS, WARREN ST - POS",10/11/10,8.42,Debit,123518,2545.5,,,,
"0224 07OCT10 2153 , EASYJET.COM , 08712442366 - POS",10/11/10,99.68,Debit,123519,2445.82,,,,
NATWEST 11OCT - ATM,10/11/10,20,Debit,123520,2425.82,,,,
10OCT GRS 24947318 - INT,10/11/10,0.04,Credit,123521,2425.86,,,,
"9664 09OCT10 , TESCO EXPRESS 2968, NORTH SHIELDS GB - POS",10/11/10,20.93,Debit,123522,2404.93,,,,
"0724 11OCT10 , W M MORRISON , LONDON GB - POS",10/12/10,59.81,Debit,123523,2345.12,,,,
"0724 11OCT10 , TFL MFM , KINGS CROSS GB - POS",10/12/10,25.8,Debit,123524,2319.32,,,,
"9664 13OCT10 , THE BIG EASY , LONDON SW3 GB - POS",10/14/10,30.12,Debit,123525,2289.2,,,,
"9664 11OCT10 , EC VEHICLE RENTAL , WATFORD GB - POS",10/14/10,121.67,Debit,123526,2167.53,,,,
"9664 14OCT10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",10/15/10,8.29,Debit,123527,2159.24,,,,
"9664 14OCT10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",10/15/10,11.79,Debit,123528,2147.45,,,,
NATIONWIDE 14OCT - ATM,10/15/10,30,Debit,123529,2117.45,,,,
"9664 16OCT10 , ARGOS LTD , LONDON NW6 GB - POS",10/18/10,28.98,Debit,123530,2088.47,,,,
"9664 14OCT10 , BOARDWALK LTD , LONDON GB - POS",10/18/10,23.3,Debit,123531,2065.17,,,,
"9664 16OCT10 , SAINSBURYS SUPERMA, QUEENS PARK GB - POS",10/18/10,9.17,Debit,123532,2056,,,,
SAINSBURYS 16OCT - ATM,10/18/10,50,Debit,123533,2006,,,,
"9664 15OCT10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",10/18/10,23.14,Debit,123534,1982.86,,,,
"9664 18OCT10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",10/19/10,25.8,Debit,123535,1957.06,,,,
"9664 18OCT10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",10/19/10,7.74,Debit,123536,1949.32,,,,
"9664 19OCT10 , SAINSBURYS SMKT , WARREN STREET GB - POS",10/20/10,5.85,Debit,123537,1943.47,,,,
WOOD HOLMES GRP LT - BAC,10/20/10,500,Credit,123538,2443.47,,,,
"9664 19OCT10 , MICROWORLD HOUSE O, LONDON GB - POS",10/20/10,29.99,Debit,123539,2413.48,,,,
"9664 20OCT10 , VIRGIN MEDIA PYMTS, 0845 4541111 GB - POS",10/21/10,35,Debit,123540,2378.48,,,,
HSBC 21OCT - ATM,10/22/10,20,Debit,123541,2358.48,,,,
"9664 19OCT10 , MAPLIN TOTTCOURTRD, W1T , LONDON GB , REFUND - POS",10/22/10,29.99,Credit,123542,2388.47,,,,
"9664 23OCT10 , THE CUT BAR , LONDON GB - POS",10/25/10,15,Debit,123543,2373.47,,,,
"9664 23OCT10 , ZOO BAR/VENOM , LONDON GB - POS",10/25/10,14,Debit,123544,2359.47,,,,
"9664 24OCT10 , BLACK PRINCE PUBLI, LONDON SE11 GB - POS",10/25/10,13.05,Debit,123545,2346.42,,,,
"9664 23OCT10 , THE CUT BAR , LONDON GB - POS",10/25/10,20.7,Debit,123546,2325.72,,,,
BARCLAYS BNK 23OCT - ATM,10/25/10,50,Debit,123547,2275.72,,,,
LLOYDS BANK 22OCT - ATM,10/25/10,30,Debit,123548,2245.72,,,,
"9664 24OCT10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",10/25/10,17.66,Debit,123549,2228.06,,,,
"9664 23OCT10 , OLD THAMESIDE , LONDON GB - POS",10/25/10,10.1,Debit,123550,2217.96,,,,
"9664 25OCT10 , TESCO STORES , MARYLEBONE GB - POS",10/26/10,15.35,Debit,123551,2202.61,,,,
"9664 25OCT10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",10/26/10,25.8,Debit,123552,2176.81,,,,
"9664 26OCT10 , HMV UK LTD , OXFORD CIRCUS GB - POS",10/27/10,28.97,Debit,123553,2147.84,,,,
"CALL REF.NO. 0182 , EGG SAVEINGS ACCOU, FP 28/10/10 10 , 34135109621985000N - OTR",10/28/10,1500,Debit,123554,647.84,,,,
S THREE MGMT. SERV - BAC,10/28/10,3364.62,Credit,123555,4012.46,,,,
"9664 26OCT10 , CARNABY BURGER CO , LONDON GB - POS",10/28/10,10,Debit,123556,4002.46,,,,
"9664 27OCT10 , O'NEILLS , LONDON GB - POS",10/28/10,19.3,Debit,123557,3983.16,,,,
"9664 28OCT10 , SAINSBURYS SMKT , WARREN STREET GB - POS",10/29/10,7.39,Debit,123558,3975.77,,,,
"CALL REF.NO. 0190 , FROM A/C 24947318 - OTR",11/1/10,808.34,Credit,123559,4784.11,,,,
"CALL REF.NO. 0190 , FROM A/C 24947318 - OTR",11/1/10,500,Credit,123560,5284.11,,,,
"9664 29OCT10 , TESCO STORES 2722 , EUSTON GB - POS",11/1/10,6.16,Debit,123561,5277.95,,,,
"9664 29OCT10 , DUKE OF CUMBERLAND, LONDON GB - POS",11/1/10,14.9,Debit,123562,5263.05,,,,
"9664 30OCT10 , MOREMOTO RESTAURAN, LONDON SW6 GB - POS",11/1/10,29,Debit,123563,5234.05,,,,
"CALL REF.NO. 0190 , TO A/C 24885126 - OTR",11/1/10,500,Debit,123564,4734.05,,,,
"CALL REF.NO. 0190 , TO A/C 24885126 - OTR",11/1/10,808.34,Debit,123565,3925.71,,,,
CO-OPERATIVE 30OCT - ATM,11/1/10,50,Debit,123566,3875.71,,,,
SAINSBURYS 29OCT - ATM,11/1/10,60,Debit,123567,3815.71,,,,
"9664 28OCT10 , SKY DIGITAL INTERN, LIVINGSTON GB - POS",11/1/10,39,Debit,123568,3776.71,,,,
"SAVING, FP 01/11/10 30 , 12024647381972000N - S/O",11/1/10,100,Debit,123569,3676.71,,,,
"0724 01NOV10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",11/2/10,25.8,Debit,123570,3650.91,,,,
"9664 31OCT10 , H &amp; M , OXFORD ST 351 GB - POS",11/2/10,19.98,Debit,123571,3630.93,,,,
"9664 31OCT10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",11/2/10,25,Debit,123572,3605.93,,,,
"9664 31OCT10 , NIKE RETAIL BV , LONDON GB - POS",11/2/10,30,Debit,123573,3575.93,,,,
"9664 30OCT10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",11/2/10,10,Debit,123574,3565.93,,,,
"MYATT , FP 02/11/10 30 , 13023401158717000N - S/O",11/2/10,100,Debit,123575,3465.93,,,,
"9664 31OCT10 , HMV UK LTD , OXFORD CIRCUS GB - POS",11/2/10,40,Debit,123576,3425.93,,,,
"9664 31OCT10 , BOOTS 0707 , SEDLEY PLACE GB - POS",11/3/10,29.86,Debit,123577,3396.07,,,,
PAYMENT 2 EGG CARD - D/D,11/3/10,891.14,Debit,123578,2504.93,,,,
"0724 03NOV10 , WAHACA , LONDON WC2N GB - POS",11/5/10,18.35,Debit,123579,2486.58,,,,
"0724 05NOV10 , EC MAINLINE CO SST, LNDON N1 7729 GB - POS",11/8/10,7.4,Debit,123580,2479.18,,,,
"0724 06NOV10 , COSTA ROYAL QUAY , NORTH SHIELDS GB - POS",11/8/10,5.1,Debit,123581,2474.08,,,,
"0724 03NOV10 , DRI*ELECTRONIC , ORDERFIND.COM NL - POS",11/8/10,29.99,Debit,123582,2444.09,,,,
"0724 07NOV10 , NXEA , CAMBRIDGE OTS GB - POS",11/8/10,19.1,Debit,123583,2424.99,,,,
"0724 06NOV10 , GAP 9315 , ROYAL QUAYS GB - POS",11/8/10,6.99,Debit,123584,2418,,,,
"0724 05NOV10 , SACAT SAINSBURY , BIGGLESWADE GB - POS",11/8/10,5.98,Debit,123585,2412.02,,,,
"4113 06NOV10 , MARKS &amp; SPENCER , OUTLET , NORTH SHIELDS GB - POS",11/8/10,88.5,Debit,123586,2323.52,,,,
"4113 06NOV10 , NIKE FACTORY STORE, NORTH SHIELDS GB - POS",11/8/10,12,Debit,123587,2311.52,,,,
"4113 07NOV10 , SHELL GOSFORTH 411, NEWCASTLE-ON- GB - POS",11/8/10,47.4,Debit,123588,2264.12,,,,
"4113 08NOV10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",11/9/10,6.59,Debit,123589,2257.53,,,,
"4113 08NOV10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",11/9/10,25.8,Debit,123590,2231.73,,,,
TIM PROBERTWOOD - S/O,11/10/10,808.34,Debit,123591,1423.39,,,,
"4113 09NOV10 , TESCO STORES , MARYLEBONE GB - POS",11/10/10,13.05,Debit,123592,1410.34,,,,
"4113 09NOV10 , GROUPON , LONDON DE - POS",11/10/10,20,Debit,123593,1390.34,,,,
SAINSBURYS 10NOV - ATM,11/10/10,30,Debit,123594,1360.34,,,,
"4113 10NOV10 , AMAZON EU , AMAZON.CO.UK LU - POS",11/11/10,18.63,Debit,123595,1341.71,,,,
"4113 10NOV10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",11/11/10,6.3,Debit,123596,1335.41,,,,
THE ECONOMIST - D/D,11/12/10,29,Debit,123597,1306.41,,,,
"4113 14NOV10 , SELFRIDGES LONDON , LONDON GB - POS",11/15/10,260,Debit,123598,1046.41,,,,
"4113 12NOV10 , BYRON , ISLINGTON 520 GB - POS",11/15/10,15,Debit,123599,1031.41,,,,
"4113 13NOV10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",11/15/10,35.13,Debit,123600,996.28,,,,
NATIONWIDE 13NOV - ATM,11/15/10,50,Debit,123601,946.28,,,,
"4113 12NOV10 , ALBANY , LONDON GB - POS",11/15/10,10.45,Debit,123602,935.83,,,,
"4113 15NOV10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",11/16/10,25.8,Debit,123603,910.03,,,,
"4113 16NOV10 , CHAIN REACTION , CYCLES , BALLYCLARE CO GB - POS",11/18/10,52.99,Debit,123604,857.04,,,,
"4113 16NOV10 , PAYPAL *MAX LEAD , 35314369001 GB - POS",11/18/10,15.99,Debit,123605,841.05,,,,
"4113 18NOV10 , TESCO STORES , MARYLEBONE GB - POS",11/19/10,9.27,Debit,123606,831.78,,,,
SAINSBURYS 18NOV - ATM,11/19/10,200,Debit,123607,631.78,,,,
"4113 21NOV10 , WH SMITH , GATWICK GB - POS",11/22/10,6.37,Debit,123608,625.41,,,,
"4113 19NOV10 , NEW SOUTHERN RAILW, LDN SW1V 3515 GB - POS",11/23/10,18.95,Debit,123609,606.46,,,,
"4113 22NOV10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",11/23/10,25.8,Debit,123610,580.66,,,,
NATIONWIDE 22NOV - ATM,11/23/10,20,Debit,123611,560.66,,,,
BARCLAYS BNK 24NOV - ATM,11/25/10,50,Debit,123612,510.66,,,,
NATWEST 25NOV - ATM,11/26/10,40,Debit,123613,470.66,,,,
"4113 27NOV10 , PROUD POWER LTD , LONDON GB - POS",11/29/10,15.2,Debit,123614,455.46,,,,
"4113 28NOV10 , PROUD POWER LTD , LONDON GB - POS",11/29/10,11.8,Debit,123615,443.66,,,,
"4113 27NOV10 , ORANGE (AE/EQ/02) , EQUIPMENT GB - POS",11/29/10,4.99,Debit,123616,438.67,,,,
S THREE MGMT. SERV - BAC,11/29/10,2273.42,Credit,123617,2712.09,,,,
"4113 27NOV10 , PAYPAL *NULLRIVER , 4029357733 CA - POS",11/29/10,13.17,Debit,123618,2698.92,,,,
SAINSBURYS 26NOV - ATM,11/29/10,30,Debit,123619,2668.92,,,,
"4113 28NOV10 , THE BULL , LONDON GB - POS",11/29/10,8,Debit,123620,2660.92,,,,
"SKY DIGITAL , INITIAL PAYMENT - D/D",11/29/10,10.84,Debit,123621,2650.08,,,,
"4113 28NOV10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",11/29/10,25.8,Debit,123622,2624.28,,,,
"4113 28NOV10 , THE BULL , LONDON GB - POS",11/29/10,8,Debit,123623,2616.28,,,,
"4113 29NOV10 , TESCO STORES , MARYLEBONE GB - POS",11/30/10,3.29,Debit,123624,2612.99,,,,
"4113 29NOV10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",11/30/10,6.68,Debit,123625,2606.31,,,,
SKY DIGITAL - D/D,11/30/10,21.18,Debit,123626,2585.13,,,,
BARCLAYS BNK 29NOV - ATM,11/30/10,20,Debit,123627,2565.13,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
