Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,
"4113 20DEC10 , TESCO STORES 2722 , EUSTON GB - POS",12/21/10,4.98,Debit,123488,-264.43,,,,,,
"4113 20DEC10 , BLUE MAID LTD , LONDON GB - POS",12/21/10,17.10,Debit,123489,-281.53,,,,,,
"4113 21DEC10 , TESCO STORES 2722 , EUSTON GB - POS",12/22/10,5.10,Debit,123490,-286.63,,,,,,
S THREE MGMT. SERV - BAC,12/22/10,"2,316.22",Credit,123491,"2,029.59",,,,,,
"4113 21DEC10 , TFL MFM , REGENTS PARK GB - POS",12/22/10,20.00,Debit,123492,"2,009.59",,,,,,
"4113 22DEC10 , COOL BRITANNIA RET, LONDON W1J GB - POS",12/24/10,15.95,Debit,123493,"1,993.64",,,,,,
"4113 23DEC10 , SAINSBURYS PETROL , COLDHAMS LANE GB - POS",12/24/10,30.01,Debit,123494,"1,963.63",,,,,,
BARCLAYS BNK 23DEC - ATM,12/24/10,50.00,Debit,123495,"1,913.63",,,,,,
"4113 23DEC10 , EC MAINLINE CO SST, LNDON N1 7729 GB - POS",12/24/10,25.20,Debit,123496,"1,888.43",,,,,,
"4113 24DEC10 , HMV , NEWCASTLE GB - POS",12/29/10,44.99,Debit,123497,"1,843.44",,,,,,
"4113 27DEC10 , FENWICK LTD , NEWCASTLE , NEWCASTLE GB - POS",12/29/10,61.50,Debit,123498,"1,781.94",,,,,,
"4113 24DEC10 , REISS LTD , NEWCASTLE UPO GB - POS",12/29/10,50.00,Debit,123499,"1,731.94",,,,,,
"4113 27DEC10 , FENWICK LTD , NEWCASTLE , NEWCASTLE GB - POS",12/29/10,28.00,Debit,123500,"1,703.94",,,,,,
"4113 27DEC10 , FENWICK LTD , NEWCASTLE , NEWCASTLE GB - POS",12/29/10,139.50,Debit,123501,"1,564.44",,,,,,
BARCLAYS BNK 29DEC - ATM,12/30/10,50.00,Debit,123502,"1,514.44",,,,,,
SKY DIGITAL - D/D,12/30/10,22.34,Debit,123503,"1,492.10",,,,,,
"4113 30DEC10 , ROADSIDE GROUP LTD, GOSFORTH, NE3 GB - POS",12/31/10,57.51,Debit,123504,"1,434.59",,,,,,
"MYATT , FP 04/01/11 30 , 18025221685687000N - S/O",1/4/11,100.00,Debit,123505,"1,334.59",,,,,,
"4113 03JAN11 , SHELL , NEWCASTLE UPO GB - POS",1/4/11,13.41,Debit,123506,"1,321.18",,,,,,
"SAVING, FP 04/01/11 30 , 23025221710106000N - S/O",1/4/11,250.00,Debit,123507,"1,071.18",,,,,,
"4113 03JAN11 , TFL TOM , KINGS CROSS ( GB - POS",1/4/11,"1,104.00",Debit,123508,-32.82,,,,,,
"4113 01JAN11 , FLORITA'S , APARTMENT &amp; , NEWCASTLE GB - POS",1/4/11,15.00,Debit,123509,-47.82,,,,,,
CARPHONE WAREHOUSE - D/D,1/4/11,35.95,Debit,123510,-83.77,,,,,,
PAYMENT 2 EGG CARD - D/D,1/4/11,9.66,Debit,123511,-93.43,,,,,,
LLOYDS BANK 31DEC - ATM,1/4/11,80.00,Debit,123512,-173.43,,,,,,
NORTHERNROCK 03JAN - ATM,1/4/11,30.00,Debit,123513,-203.43,,,,,,
"4113 04JAN11 , SAINSBURYS SUPERMA, KILBURN GB - POS",1/5/11,30.99,Debit,123514,-234.42,,,,,,
"4113 04JAN11 , PILATES ART LTD , LONDON NW6 GB - POS",1/5/11,45.00,Debit,123515,-279.42,,,,,,
"4113 04JAN11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",1/5/11,7.64,Debit,123516,-287.06,,,,,,
SAINSBURYS 06JAN - ATM,1/6/11,30.00,Debit,123517,-317.06,,,,,,
"CALL REF.NO. 0268 , TO A/C 24947318 - OTR",1/10/11,200.00,Debit,123518,-517.06,,,,,,
"4113 07JAN11 , PILATES ART LTD , LONDON NW6 GB - POS",1/10/11,45.00,Debit,123519,-562.06,,,,,,
TIM PROBERTWOOD - S/O,1/10/11,808.34,Debit,123520,"-1,370.40",,,,,,
"CALL REF.NO. 0268 , FROM A/C 24885126 - OTR",1/10/11,200.00,Credit,123521,"-1,170.40",,,,,,
NATWEST 08JAN - ATM,1/10/11,30.00,Debit,123522,"-1,200.40",,,,,,
NATIONWIDE 09JAN - ATM,1/10/11,40.00,Debit,123523,"-1,240.40",,,,,,
TELEFONICA O2 UK - BAC,1/11/11,20.99,Credit,123524,"-1,219.41",,,,,,
EGG BANKING PLC - BAC,1/12/11,600.00,Credit,123525,-619.41,,,,,,
"4113 11JAN11 , TESCO STORES 2722 , EUSTON GB - POS",1/12/11,6.32,Debit,123526,-625.73,,,,,,
"4113 12JAN11 , PILATES ART LTD , LONDON NW6 GB - POS",1/13/11,45.00,Debit,123527,-670.73,,,,,,
"4113 12JAN11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",1/13/11,6.38,Debit,123528,-677.11,,,,,,
"4113 13JAN11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",1/14/11,2.54,Debit,123529,-679.65,,,,,,
CARPHONE WAREHOUSE - BAC,1/14/11,35.95,Credit,123530,-643.70,,,,,,
SAINSBURYS 13JAN - ATM,1/14/11,40.00,Debit,123531,-683.70,,,,,,
"4113 16JAN11 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",1/17/11,16.29,Debit,123532,-699.99,,,,,,
"HOSKER D G , LAFF , FP 15/01/11 1722 , 158472042271511001 - BAC",1/17/11,30.00,Credit,123533,-669.99,,,,,,
NATIONWIDE 14JAN - ATM,1/17/11,30.00,Debit,123534,-699.99,,,,,,
"4113 15JAN11 , JUSTGIVING.COM/CC , (ONLINE DONAT GB - POS",1/17/11,210.00,Debit,123535,-909.99,,,,,,
SAINSBURYS 18JAN - ATM,1/18/11,50.00,Debit,123536,-959.99,,,,,,
"4113 13JAN11 , ABACUS , LONDON GB - POS",1/19/11,20.05,Debit,123537,-980.04,,,,,,
"4113 18JAN11 , SAINSBURYS SUPERMA, KILBURN GB - POS",1/19/11,10.08,Debit,123538,-990.12,,,,,,
"4113 17JAN11 , WCC COUNCIL TAX , WESTMINSTER GB - POS",1/19/11,121.00,Debit,123539,"-1,111.12",,,,,,
"4113 18JAN11 , PILATES ART LTD , LONDON NW6 GB - POS",1/19/11,45.00,Debit,123540,"-1,156.12",,,,,,
ORANGE - D/D,1/20/11,33.77,Debit,123541,"-1,189.89",,,,,,
SAINSBURYS 21JAN - ATM,1/21/11,40.00,Debit,123542,"-1,229.89",,,,,,
"4113 22JAN11 , MARKS &amp; SPENCER , KILBURN GB - POS",1/24/11,8.00,Debit,123543,"-1,237.89",,,,,,
"4113 22JAN11 , SAINSBURYS SUPERMA, KILBURN GB - POS",1/24/11,22.17,Debit,123544,"-1,260.06",,,,,,
NATIONWIDE 22JAN - ATM,1/24/11,80.00,Debit,123545,"-1,340.06",,,,,,
"4113 24JAN11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",1/25/11,8.40,Debit,123546,"-1,348.46",,,,,,
"4113 24JAN11 , TESCO STORES , MARYLEBONE GB - POS",1/25/11,7.37,Debit,123547,"-1,355.83",,,,,,
"4113 25JAN11 , TFL MFM , REGENTS PARK GB - POS",1/26/11,10.00,Debit,123548,"-1,365.83",,,,,,
"4113 26JAN11 , PILATES ART LTD , LONDON NW6 GB - POS",1/27/11,45.00,Debit,123549,"-1,410.83",,,,,,
"WYBORN R J D V05 T, CELIDIH AND ROME - OTR",1/27/11,180.00,Credit,123550,"-1,230.83",,,,,,
"4113 26JAN11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",1/27/11,5.19,Debit,123551,"-1,236.02",,,,,,
"4113 26JAN11 , SAINSBURYS SUPERMA, KILBURN GB - POS",1/27/11,5.00,Debit,123552,"-1,241.02",,,,,,
"4113 27JAN11 , SAINSBURYS SUPERMA, KILBURN GB - POS",1/28/11,15.15,Debit,123553,"-1,256.17",,,,,,
S THREE MGMT. SERV - BAC,1/28/11,"2,273.42",Credit,123554,"1,017.25",,,,,,
SKY DIGITAL - D/D,1/28/11,24.14,Debit,123555,993.11,,,,,,
HALIFAX PLC 30JAN - ATM,1/31/11,20.00,Debit,123556,973.11,,,,,,
"4113 29JAN11 , GROUPON , LONDON DE - POS",1/31/11,29.00,Debit,123557,944.11,,,,,,
ROYAL BANK 30JAN - ATM,1/31/11,50.00,Debit,123558,894.11,,,,,,
ROYAL BANK 29JAN - ATM,1/31/11,60.00,Debit,123559,834.11,,,,,,
"4113 31JAN11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",2/1/11,6.89,Debit,123560,827.22,,,,,,
"SAVING, FP 01/02/11 30 , 56024228847451000N - S/O",2/1/11,350.00,Debit,123561,477.22,,,,,,
"MYATT , FP 02/02/11 30 , 13023424705240000N - S/O",2/2/11,100.00,Debit,123562,377.22,,,,,,
"4113 02FEB11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",2/3/11,5.00,Debit,123563,372.22,,,,,,
ANDREW PELLEGRIN - BAC,2/3/11,564.99,Credit,123564,937.21,,,,,,
PAYMENT 2 EGG CARD - D/D,2/3/11,155.44,Debit,123565,781.77,,,,,,
"4113 03FEB11 , URBANROCK , LONDON GB - POS",2/4/11,3.00,Debit,123566,778.77,,,,,,
SAINSBURYS 04FEB - ATM,2/4/11,40.00,Debit,123567,738.77,,,,,,
TIM PROBERTWOOD - S/O,2/10/11,808.34,Debit,123568,-69.57,,,,,,
"4113 10FEB11 , PILATES ART LTD , LONDON NW6 GB - POS",2/11/11,45.00,Debit,123569,-114.57,,,,,,
"4113 10FEB11 , SAINSBURYS SMKT , WARREN STREET GB - POS",2/11/11,14.93,Debit,123570,-129.50,,,,,,
"4113 11FEB11 , THE BIG EASY , LONDON SW3 GB - POS",2/14/11,60.50,Debit,123571,-190.00,,,,,,
"4113 12FEB11 , LONDON THEATRE BOX, OFF , LONDON W1V GB - POS",2/14/11,106.50,Debit,123572,-296.50,,,,,,
BARCLAYS BNK 12FEB - ATM,2/14/11,50.00,Debit,123573,-346.50,,,,,,
"4113 15FEB11 , TESCO STORES , MARYLEBONE GB - POS",2/16/11,7.36,Debit,123574,-353.86,,,,,,
"4113 15FEB11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",2/16/11,6.19,Debit,123575,-360.05,,,,,,
"BROTHERTON/J M , JAMIE BROTHERTON - OTR",2/17/11,30.00,Credit,123576,-330.05,,,,,,
"4113 16FEB11 , TESCO STORES , MARYLEBONE GB - POS",2/17/11,13.70,Debit,123577,-343.75,,,,,,
"4113 17FEB11 , TESCO STORES 2722 , EUSTON GB - POS",2/18/11,4.30,Debit,123578,-348.05,,,,,,
"4113 17FEB11 , PILATES ART LTD , LONDON NW6 GB - POS",2/18/11,45.00,Debit,123579,-393.05,,,,,,
THE ECONOMIST - D/D,2/18/11,29.00,Debit,123580,-422.05,,,,,,
"4113 17FEB11 , TESCO STORES 2722 , EUSTON GB - POS",2/18/11,6.24,Debit,123581,-428.29,,,,,,
"4113 20FEB11 , THE LIVING ROOM , B1081 GB - POS",2/21/11,14.51,Debit,123582,-442.80,,,,,,
"4113 18FEB11 , TESCO STORES , MARYLEBONE GB - POS",2/21/11,12.35,Debit,123583,-455.15,,,,,,
"DAS R/STUD ROY , NYE 2010 , FP 20/02/11 1157 , 39115707694882000R - BAC",2/21/11,241.50,Credit,123584,-213.65,,,,,,
"CALL REF.NO. 0310 , EGG SAVEINGS ACCOU, FP 19/02/11 10 , 23165740803901000N - OTR",2/21/11,100.00,Debit,123585,-313.65,,,,,,
NATIONWIDE 19FEB - ATM,2/21/11,80.00,Debit,123586,-393.65,,,,,,
ORANGE - D/D,2/21/11,33.40,Debit,123587,-427.05,,,,,,
"4113 18FEB11 , THE MASON'S ARMS , LONDON W1W GB - POS",2/21/11,17.45,Debit,123588,-444.50,,,,,,
"4113 19FEB11 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",2/21/11,10.83,Debit,123589,-455.33,,,,,,
"4113 21FEB11 , WWW.MOONPIG.COM , 0845 4500100 GB - POS",2/22/11,3.49,Debit,123590,-458.82,,,,,,
"4113 19FEB11 , WCC COUNCIL TAX , WESTMINSTER GB - POS",2/22/11,121.00,Debit,123591,-579.82,,,,,,
"4113 22FEB11 , WWW.MOONPIG.COM , 0845 4500100 GB - POS",2/23/11,3.49,Debit,123592,-583.31,,,,,,
"4113 22FEB11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",2/23/11,7.64,Debit,123593,-590.95,,,,,,
"4113 23FEB11 , TESCO STORES , MARYLEBONE GB - POS",2/24/11,5.86,Debit,123594,-596.81,,,,,,
"4113 24FEB11 , PILATES ART LTD , LONDON NW6 GB - POS",2/25/11,45.00,Debit,123595,-641.81,,,,,,
S THREE MGMT. SERV - BAC,2/25/11,"2,273.22",Credit,123596,"1,631.41",,,,,,
"4113 24FEB11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",2/25/11,5.19,Debit,123597,"1,626.22",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
