Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,
"4113 25APR11 , STUDIO SIX (1992) , LTD , LONDON GB - POS",4/26/11,10.00,Debit,123548,-539.05,,,,,,,,
NATWEST 21APR - ATM,4/26/11,50.00,Debit,123549,-589.05,,,,,,,,
S THREE MGMT. SERV - BAC,4/27/11,"2,276.57",Credit,123550,"1,687.52",,,,,,,,
"4113 25APR11 , DUKE OF SUSSEX , LONDON GB - POS",4/27/11,15.00,Debit,123551,"1,672.52",,,,,,,,
SAINSBURYS 27APR - ATM,4/28/11,50.00,Debit,123552,"1,622.52",,,,,,,,
SKY DIGITAL - D/D,4/28/11,21.25,Debit,123553,"1,601.27",,,,,,,,
"4113 29APR11 , WWW.DVLA.GOV.UK , VEHICLE LICEN GB - POS",5/3/11,71.50,Debit,123554,"1,529.77",,,,,,,,
"4113 28APR11 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",5/3/11,7.00,Debit,123555,"1,522.77",,,,,,,,
"RICHARD MYATT , FP 03/05/11 30 , 10025149291946000N - S/O",5/3/11,100.00,Debit,123556,"1,422.77",,,,,,,,
"4113 29APR11 , ALDI STORES LTD , NEWCASTLE GB - POS",5/3/11,14.12,Debit,123557,"1,408.65",,,,,,,,
"4113 29APR11 , FLORITAS MIAMI BAR, NEWCASTLE UPO GB - POS",5/3/11,10.20,Debit,123558,"1,398.45",,,,,,,,
LLOYDS BANK 01MAY - ATM,5/3/11,30.00,Debit,123559,"1,368.45",,,,,,,,
BARCLAYS BNK 30APR - ATM,5/3/11,30.00,Debit,123560,"1,338.45",,,,,,,,
LLOYDS BANK 30APR - ATM,5/3/11,30.00,Debit,123561,"1,308.45",,,,,,,,
"PETER MYATT SAVING, FP 03/05/11 30 , 12025149315403000N - S/O",5/3/11,350.00,Debit,123562,958.45,,,,,,,,
BARCLAYS BNK 30APR - ATM,5/3/11,40.00,Debit,123563,918.45,,,,,,,,
E.ON - D/D,5/4/11,69.00,Debit,123564,849.45,,,,,,,,
PAYMENT 2 EGG CARD - D/D,5/4/11,117.65,Debit,123565,731.80,,,,,,,,
"WOOD HOLMES GRP LT, EXPENSES , FP 06/05/11 0233 , 43023241495403000R, EXPENSES - BAC",5/6/11,300.00,Credit,123566,"1,031.80",,,,,,,,
"4113 05MAY11 , ASDA SUPERSTORE , CHARLTON GB - POS",5/6/11,48.82,Debit,123567,982.98,,,,,,,,
"4113 07MAY11 , MEZA , LONDON W1F GB - POS",5/9/11,15.00,Debit,123568,967.98,,,,,,,,
"4113 08MAY11 , LE MERCURY , ISLINGTON GB - POS",5/9/11,15.00,Debit,123569,952.98,,,,,,,,
NATWEST 07MAY - ATM,5/9/11,50.00,Debit,123570,902.98,,,,,,,,
"4113 07MAY11 , WAHACA , LONDON GB - POS",5/9/11,28.37,Debit,123571,874.61,,,,,,,,
"4113 06MAY11 , RYANAIR , 22400000TI , STANSTED AIRP GB - POS",5/10/11,92.98,Debit,123572,781.63,,,,,,,,
"4113 09MAY11 , SAINSBURYS SUPERMA, GREAT PORTLAN GB - POS",5/10/11,9.85,Debit,123573,771.78,,,,,,,,
TIM PROBERTWOOD - S/O,5/10/11,808.34,Debit,123574,-36.56,,,,,,,,
"4113 10MAY11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",5/11/11,4.44,Debit,123575,-41.00,,,,,,,,
SAINSBURYS 10MAY - ATM,5/11/11,40.00,Debit,123576,-81.00,,,,,,,,
"4113 10MAY11 , WWW.MOONPIG.COM , LTD , LONDON GB - POS",5/12/11,6.91,Debit,123577,-87.91,,,,,,,,
