Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,
"6628 25AUG10 , SHELL GOSFORTH 411, NEWCASTLE-ON- GB - POS",8/26/10,6.05,Debit,123579,298.44,,
"6628 24AUG10 , DIXONS ONLINE , HEMEL HEMPSTE GB - POS",8/26/10,886.60,Debit,123580,-588.16,,
"6628 25AUG10 , PARKLANDS , NEWCASTLE UPO GB - POS",8/26/10,12.00,Debit,123581,-600.16,,
"6628 26AUG10 , WRIGHTS MOTOR , SERVICES , NEWCASTLE GB - POS",8/27/10,302.47,Debit,123582,-902.63,,
WOOD HOLMES GRP LT - BAC,8/27/10,"2,810.42",Credit,123583,"1,907.79",,
"6628 26AUG10 , ALVINO'S BAR , NEWCASTLE GB - POS",8/27/10,15.00,Debit,123584,"1,892.79",,
"6628 28AUG10 , TESCO STORES 2917 , NEWCASTLE U/T GB - POS",8/31/10,6.91,Debit,123585,"1,885.88",,
"6628 28AUG10 , FENWICK LTD , NEWCASTLE , NEWCASTLE GB - POS",8/31/10,19.00,Debit,123586,"1,866.88",,
"6628 29AUG10 , ALDI STORES LTD , NEWCASTLE GB - POS",8/31/10,8.25,Debit,123587,"1,858.63",,
"6628 29AUG10 , REHILLS , JESMOND GB - POS",8/31/10,8.65,Debit,123588,"1,849.98",,
"6628 30AUG10 , THE BLUE BELL , NEWCASTLE GB - POS",8/31/10,10.75,Debit,123589,"1,839.23",,
BARCLAYS BNK 30AUG - ATM,8/31/10,30.00,Debit,123590,"1,809.23",,
BARCLAYS BNK 29AUG - ATM,8/31/10,40.00,Debit,123591,"1,769.23",,
ROYAL BANK 28AUG - ATM,8/31/10,30.00,Debit,123592,"1,739.23",,
"6628 27AUG10 , ALDI STORES LTD , NEWCASTLE GB - POS",8/31/10,13.06,Debit,123593,"1,726.17",,
"6628 28AUG10 , SHIREMOOR HSE FRM , NORTH SHIELDS GB - POS",8/31/10,10.55,Debit,123594,"1,715.62",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
